Subject,Vignette,Face,StoryEmotion,FaceExpression,RT
22,25,Sad 15 Male.JPG,Happy,Sad,2419
26,25,Sad 15 Male.JPG,Happy,Sad,1478
27,25,Sad 15 Male.JPG,Happy,Sad,1301
28,25,Sad 15 Male.JPG,Happy,Sad,1041
29,25,Happy 13 Male.JPG,Happy,Happy,1495
30,25,Happy 13 Male.JPG,Happy,Happy,1968
31,25,Happy 13 Male.JPG,Happy,Happy,893
32,25,Happy 13 Male.JPG,Happy,Happy,1374
34,25,Sad 15 Male.JPG,Happy,Sad,1259
36,25,Sad 15 Male.JPG,Happy,Sad,2371
37,25,Sad 15 Male.JPG,Happy,Sad,1166
49,25,Sad 15 Male.JPG,Happy,Sad,2381
1,26,Happy 14 Male.JPG,Sad,Happy,1310
100,26,Sad 16 Male.JPG,Sad,Sad,1108
2,26,Happy 14 Male.JPG,Sad,Happy,1889
5,26,Sad 16 Male.JPG,Sad,Sad,1511
8,26,Sad 16 Male.JPG,Sad,Sad,2363
9,26,Happy 14 Male.JPG,Sad,Happy,1032
11,26,Sad 16 Male.JPG,Sad,Sad,813
13,26,Happy 14 Male.JPG,Sad,Happy,1757
14,26,Sad 16 Male.JPG,Sad,Sad,1828
15,26,Sad 16 Male.JPG,Sad,Sad,773
16,26,Happy 14 Male.JPG,Sad,Happy,806
17,26,Happy 14 Male.JPG,Sad,Happy,1436
18,26,Happy 14 Male.JPG,Sad,Happy,1060
19,26,Happy 14 Male.JPG,Sad,Happy,1686
20,26,Happy 14 Male.JPG,Sad,Happy,2191
21,26,Happy 14 Male.JPG,Sad,Happy,740
22,26,Sad 16 Male.JPG,Sad,Sad,1052
27,26,Sad 16 Male.JPG,Sad,Sad,1170
28,26,Sad 16 Male.JPG,Sad,Sad,1205
29,26,Happy 14 Male.JPG,Sad,Happy,2596
31,26,Happy 14 Male.JPG,Sad,Happy,657
32,26,Happy 14 Male.JPG,Sad,Happy,1217
34,26,Sad 16 Male.JPG,Sad,Sad,687
36,26,Sad 16 Male.JPG,Sad,Sad,1938
37,26,Sad 16 Male.JPG,Sad,Sad,1118
49,26,Sad 16 Male.JPG,Sad,Sad,1098
1,27,Sad 13 Female.JPG,Sad,Sad,1237
100,27,Happy 15 Female.JPG,Sad,Happy,1287
2,27,Sad 13 Female.JPG,Sad,Sad,1887
200,27,Happy 15 Female.JPG,Sad,Happy,1893
5,27,Happy 15 Female.JPG,Sad,Happy,993
6,27,Sad 13 Female.JPG,Sad,Sad,1764
8,27,Happy 15 Female.JPG,Sad,Happy,1797
9,27,Sad 13 Female.JPG,Sad,Sad,912
10,27,Sad 13 Female.JPG,Sad,Sad,1484
11,27,Happy 15 Female.JPG,Sad,Happy,1009
12,27,Happy 15 Female.JPG,Sad,Happy,846
13,27,Sad 13 Female.JPG,Sad,Sad,2669
14,27,Happy 15 Female.JPG,Sad,Happy,1346
15,27,Happy 15 Female.JPG,Sad,Happy,849
16,27,Sad 13 Female.JPG,Sad,Sad,3116
17,27,Sad 13 Female.JPG,Sad,Sad,1184
18,27,Sad 13 Female.JPG,Sad,Sad,1651
19,27,Sad 13 Female.JPG,Sad,Sad,875
20,27,Sad 13 Female.JPG,Sad,Sad,1088
21,27,Sad 13 Female.JPG,Sad,Sad,977
22,27,Happy 15 Female.JPG,Sad,Happy,1321
26,27,Happy 15 Female.JPG,Sad,Happy,879
27,27,Happy 15 Female.JPG,Sad,Happy,848
28,27,Happy 15 Female.JPG,Sad,Happy,1220
29,27,Sad 13 Female.JPG,Sad,Sad,1454
30,27,Sad 13 Female.JPG,Sad,Sad,2053
31,27,Sad 13 Female.JPG,Sad,Sad,801
32,27,Sad 13 Female.JPG,Sad,Sad,1386
36,27,Happy 15 Female.JPG,Sad,Happy,3184
49,27,Happy 15 Female.JPG,Sad,Happy,2149
1,31,Sad 15 Male.JPG,Sad,Sad,2158
100,31,Happy 13 Male.JPG ,Sad,Happy,2113
2,31,Sad 15 Male.JPG,Sad,Sad,4090
200,31,Happy 13 Male.JPG ,Sad,Happy,3304
5,31,Happy 13 Male.JPG ,Sad,Happy,1087
6,31,Sad 15 Male.JPG,Sad,Sad,2354
8,31,Happy 13 Male.JPG ,Sad,Happy,2319
9,31,Sad 15 Male.JPG,Sad,Sad,1194
10,31,Sad 15 Male.JPG,Sad,Sad,1465
11,31,Happy 13 Male.JPG ,Sad,Happy,1234
12,31,Happy 13 Male.JPG ,Sad,Happy,1115
13,31,Sad 15 Male.JPG,Sad,Sad,1646
14,31,Happy 13 Male.JPG ,Sad,Happy,2281
15,31,Happy 13 Male.JPG ,Sad,Happy,1328
16,31,Sad 15 Male.JPG,Sad,Sad,2002
17,31,Sad 15 Male.JPG,Sad,Sad,1370
18,31,Sad 15 Male.JPG,Sad,Sad,1313
19,31,Sad 15 Male.JPG,Sad,Sad,1701
20,31,Sad 15 Male.JPG,Sad,Sad,1449
21,31,Sad 15 Male.JPG,Sad,Sad,1225
22,31,Happy 13 Male.JPG ,Sad,Happy,1061
26,31,Happy 13 Male.JPG ,Sad,Happy,2426
27,31,Happy 13 Male.JPG ,Sad,Happy,1071
29,31,Sad 15 Male.JPG,Sad,Sad,2348
30,31,Sad 15 Male.JPG,Sad,Sad,1362
31,31,Sad 15 Male.JPG,Sad,Sad,649
32,31,Sad 15 Male.JPG,Sad,Sad,1359
34,31,Happy 13 Male.JPG ,Sad,Happy,719
36,31,Happy 13 Male.JPG ,Sad,Happy,1648
37,31,Happy 13 Male.JPG ,Sad,Happy,1206
49,31,Happy 13 Male.JPG ,Sad,Happy,1058
1,32,Sad 16 Male.JPG,Happy,Sad,1499
100,32,Happy 14 Male.JPG,Happy,Happy,1013
2,32,Sad 16 Male.JPG,Happy,Sad,1309
200,32,Happy 14 Male.JPG,Happy,Happy,1817
6,32,Sad 16 Male.JPG,Happy,Sad,3391
8,32,Happy 14 Male.JPG,Happy,Happy,1715
10,32,Sad 16 Male.JPG,Happy,Sad,1362
11,32,Happy 14 Male.JPG,Happy,Happy,1056
12,32,Happy 14 Male.JPG,Happy,Happy,1000
13,32,Sad 16 Male.JPG,Happy,Sad,2757
14,32,Happy 14 Male.JPG,Happy,Happy,1759
16,32,Sad 16 Male.JPG,Happy,Sad,1207
17,32,Sad 16 Male.JPG,Happy,Sad,1569
18,32,Sad 16 Male.JPG,Happy,Sad,1438
19,32,Sad 16 Male.JPG,Happy,Sad,1187
20,32,Sad 16 Male.JPG,Happy,Sad,2137
21,32,Sad 16 Male.JPG,Happy,Sad,832
22,32,Happy 14 Male.JPG,Happy,Happy,1249
27,32,Happy 14 Male.JPG,Happy,Happy,1417
29,32,Sad 16 Male.JPG,Happy,Sad,2073
30,32,Sad 16 Male.JPG,Happy,Sad,940
31,32,Sad 16 Male.JPG,Happy,Sad,1020
32,32,Sad 16 Male.JPG,Happy,Sad,2648
36,32,Happy 14 Male.JPG,Happy,Happy,1401
37,32,Happy 14 Male.JPG,Happy,Happy,893
